Product,Cost,Currency Type,Per Units,Floor,Column 6
Source Jar - Full,25,Gold Coins,1,1,
Abjuration Essence,5,Gold Coins,5,1,
Manipulation Essence,5,Gold Coins,5,1,
Source Gem,1,Gold Coins,5,1,
Warp Scroll,5,Gold Coins,1,1,
Fire Essence,5,Gold Coins,5,1,
Conjuration Essence,5,Gold Coins,5,1,
Earth Essence,5,Gold Coins,5,1,
Sourcestone,20,Gold Coins,32,1,
Vexing Archwood Log,3,Gold Coins,32,2,
Flourishing Archwood Log,3,Gold Coins,32,2,
Blazing Archwood Log,3,Gold Coins,32,2,
Cascading Archwood Log,3,Gold Coins,32,2,
Magebloom,1,Gold Coins,5,2,
Sourceberry,2,Gold Coins,64,2,
