Product,Cost,Currency Type,Per Units,Floor,Column 6
Concrete - All Colours,16,Gold Coins,64,1,
Concrete Powder - All Colours,12,Gold Coins,64,1,
Terracotta - All Colours,16,Gold Coins,64,1,
Dye - All Colours,4,Gold Coins,64,1,
Wool - All Colours,8,Gold Coins,64,1,
Glass (Clear/Stained) - All Colours,12,Gold Coins,64,1,
Coral Blocks - Various Types,16,Gold Coins,64,2,
Calcite,12,Gold Coins,64,2,
Dripstone Block,12,Gold Coins,64,2,
Jaspar,16,Gold Coins,64,2,
Shale,16,Gold Coins,64,2,
Prismarine,12,Gold Coins,64,2,
Prismarine Bricks,16,Gold Coins,64,2,
Dark Prismarine,16,Gold Coins,64,2,
Sea Lantern,16,Gold Coins,32,2,
Stone,12,Gold Coins,64,2,
Cobble Stone,8,Gold Coins,64,2,
Mossy Cobble Stone,16,Gold Coins,64,2,
Stone Bricks,12,Gold Coins,64,2,
Mossy Stone Bricks,16,Gold Coins,64,2,
Tuff,12,Gold Coins,64,2,
Cobbled Deepslate,12,Gold Coins,64,2,
Deepslate,12,Gold Coins,64,2,
Dirt,4,Gold Coins,64,2,
Grass Block,8,Gold Coins,64,2,
Podzol,8,Gold Coins,64,2,
Mycelium,8,Gold Coins,64,2,
Sand,8,Gold Coins,64,2,
Sandstone,16,Gold Coins,64,2,
Red Sand,8,Gold Coins,64,2,
Red Sandstone,16,Gold Coins,64,2,
Coarse Dirt,12,Gold Coins,64,2,
Mud,12,Gold Coins,64,2,
Packed Mud,16,Gold Coins,64,2,
Gravel,8,Gold Coins,64,2,
Clay,16,Gold Coins,64,2,
Andesite,12,Gold Coins,64,2,
Diorite,12,Gold Coins,64,2,
Granite,12,Gold Coins,64,2,
Mahogany Log (Hexerei),16,Gold Coins,64,2,
Witch Hazel Log,16,Gold Coins,64,2,
Willow Log (Hexerei),16,Gold Coins,64,2,
Dead Log,16,Gold Coins,64,2,
Umbran Log,16,Gold Coins,64,2,
Trumpet Log,16,Gold Coins,64,2,
Ashen Log,16,Gold Coins,64,2,
 Azalea Log,20,Gold Coins,64,2,
Oak Log,16,Gold Coins,64,2,
Spruce Log,16,Gold Coins,64,2,
Birch Log,16,Gold Coins,64,2,
Jungle Log,16,Gold Coins,64,2,
Acacia Log,16,Gold Coins,64,2,
Dark Oak Log,16,Gold Coins,64,2,
Mangrove Log,16,Gold Coins,64,2,
Cherry Log,16,Gold Coins,64,2,
Fir Log,16,Gold Coins,64,2,
Redwood Log,16,Gold Coins,64,2,
Mahogany Log (Biomes O' Plenty),16,Gold Coins,64,2,
Hellbark Log,16,Gold Coins,64,2,
Jacaranda Log,16,Gold Coins,64,2,
Palm Log,16,Gold Coins,64,2,
Willow Log (Biome O' Plenty),16,Gold Coins,64,2,
Magic Log,16,Gold Coins,64,2,
