Product,Cost,Currency Type,Per Units,Floor,Column 6
Perch,3,Silver Coins,1,1,
Fish Oil,2,Silver Coins,1,1,
Bluegill,3,Silver Coins,1,1,
Atlantic Herring,3,Silver Coins,1,1,
Brown Trout,3,Silver Coins,1,1,
Minnow,3,Silver Coins,1,1,
Smallmouth Bass,3,Silver Coins,1,1,
Guardian,1,Gold Coins,1,1,
Jellyfish,3,Silver Coins,1,1,
Shrimp,3,Silver Coins,1,1,
Muskellunge,3,Silver Coins,1,1,
Anchony,3,Silver Coins,1,1,
Oyster,3,Silver Coins,1,1,
Gar,3,Silver Coins,1,1,
Clam,3,Silver Coins,1,1,
Sea Lettuce,3,Silver Coins,1,1,
Fishing Line,1,Gold Coins,3,1,
Pufferfish,3,Silver Coins,16,1,
Tropical Fish,3,Silver Coins,16,1,
Fishing Net,2,Silver Coins,1,1,
Fishing Lure,3,Silver Coins,1,1,
Raw Salmon,1,Silver Coins,16,1,
Raw Cod,1,Silver Coins,16,1,
