Product,Cost,Currency Type,Per Units,Floor,Column 6
Quick Charge III,1,Money,1,,
Multishot,1,Money,1,,
Piercing IV,1,Money,1,,
Flame,1,Money,1,,
Power V,2,Money,1,,
Punch II,1,Money,1,,
Infinity,2,Money,1,,
Loyalty III,1,Money,1,,
Channeling,1,Money,1,,
Riptide III,1,Money,1,,
Impaling V,1,Money,1,,
Mending,3,Money,1,,
Unbreaking III,3,Money,1,,
Protection IV,3,Money,1,,
Thorns III,2,Money,1,,
Aqua Affinity,2,Money,1,,
Blast Protection IV,1,Money,1,,
Projectile Protection,1,Money,1,,
Fire Protection IV,1,Money,1,,
Feather Falling IV,2,Money,1,,
Soul Speed III,1,Money,1,,
Depth Strider III,1,Money,1,,
Swift Sneak III,1,Money,1,,
Lure III,1,Money,1,,
Luck of the Sea III,1,Money,1,,
Sharpness V,2,Money,1,,
Looting III,2,Money,1,,
Sweeping Edge III,2,Money,1,,
Knockback II,1,Money,1,,
Silk Touch,2,Money,1,,
Fortune III,2,Money,1,,
Efficiency V,2,Money,1,,
Fire Aspect II,2,Money,1,,
Ancient Tome - Loyalty,2,Money,1,,
"Ancient Tome - Riptide
",2,Money,1,,
"Ancient Tome - Impaling
",2,Money,1,,
"Ancient Tome - Thorns
",4,Money,1,,
Ancient Tome - Feather Falling,4,Money,1,,
"Ancient Tome - Knockback
",2,Money,1,,
Punch,4,Money,1,,
Power,4,Money,1,,
Piercing,4,Money,1,,
Sweeping Edge,4,Money,1,,
Smite,2,Money,1,,
Sharpness,4,Money,1,,
Lure,3,Money,1,,
Luck of the Sea ,3,Money,1,,
Efficiency ,4,Money,1,,
Unbreaking,4,Money,1,,
Fortune,4,Money,1,,
Looting,4,Money,1,,
Fire Aspect,3,Money,1,,
