Product,Cost,Currency Type,Per Units,Floor,Column 6
Chorus Fruit,0,Gold Coins,0,1,
Bolloom,16,Gold Coins,4,1,
Bolloom Bud,16,Gold Coins,4,1,
Acidian Lantern,16,Gold Coins,8,1,
Poise Stem,16,Gold Coins,64,1,
Glowing Poise Stem,8,Gold Coins,16,1,
Poise Cluster,8,Gold Coins,32,1,
Obsidian,8,Gold Coins,32,1,
Myalite,8,Gold Coins,64,1,
Dusky Myalite,8,Gold Coins,64,1,
Myalite Crystal,8,Gold Coins,64,1,
Eumus,8,Gold Coins,64,1,
Ender Pearl,2,Gold Coins,8,1,
Shulker Shell,1,Money,2,1,
End Gobber Globette,16,Gold Coins,9,1,
End Glass,8,Gold Coins,16,1,
End Gobber Rod,8,Gold Coins,4,1,
End Gobber Foo,16,Gold Coins,4,1,
Purpur Block,8,Gold Coins,64,1,
End Stone Bricks,8,Gold Coins,64,1,
Poismoss,12,Gold Coins,64,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
,,,,1,
