Product,Cost,Currency Type,Per Units,Floor,Column 6
Minnow,8,Silver Coins,1,,
Brown Trout,8,Silver Coins,1,,
Smallmouth Bass,8,Silver Coins,1,,
Gar,8,Silver Coins,1,,
Carp,8,Silver Coins,1,,
Jellyfish,8,Silver Coins,1,,
Puffer Fish,4,Gold Coins,1,,
Perch,8,Silver Coins,1,,
Clam,8,Silver Coins,1,,
Sea Lettuce,8,Silver Coins,1,,
Oyster,8,Silver Coins,1,,
Blugill,8,Silver Coins,1,,
Atlantic Herring,8,Silver Coins,1,,
Tropical Fish,8,Silver Coins,1,,
Raw Cod,8,Silver Coins,1,,
Box Turtle,40,Silver Coins,1,,
Anchovy,8,Silver Coins,1,,
Raw Salmon,8,Silver Coins,1,,
Crab,8,Silver Coins,1,,
