Product,Cost,Currency Type,Per Units,Floor,Column 6
Candle Holder - Multiple Colours,4,Gold Coins,32,1,
Candle Lantern Light - Multiple Colours,2,Gold Coins,16,1,
Candle - Multiple Colours,1,Gold Coins,64,1,
Flower Shelf Candle - Multiple Colours,1,Gold Coins,32,1,
Black Candle x64,1,Gold Coins,64,1,
Black Candle x32,20,Silver Coins,32,1,
Copper Candle Holder - Multiple Variations,1,Gold Coins,10,2,
Table Candle Holder - Multiple Colours,2,Gold Coins,10,2,
Iron Candle Holder - Multiple Variations,2,Gold Coins,10,2,
Golden Candle Holder - Multiple Variations,3,Gold Coins,10,2,
Candalabra - Multiple Colours,1,Gold Coins,15,2,
Copper Small Chandelier (Macaw's),1,Gold Coins,5,2,
Copper Chandelier (Macaw's),2,Gold Coins,5,2,
Iron Small Chandelier (Macaw's),2,Gold Coins,5,2,
Iron Chandelier (Macaw's),3,Gold Coins,5,2,
Golden Small Chandelier (Macaw's),3,Gold Coins,5,2,
Golden Chandelier (Macaw's),4,Gold Coins,5,2,
White Chandelier (MOA),2,Gold Coins,5,2,
Black Chandelier (MOA),2,Gold Coins,5,2,
Golden Chandelier (MOA),,,,2,
Grey Chandalier (MOA),2,Gold Coins,5,2,
