Product,Cost,Currency Type,Per Units,Floor,Column 6
Soul Sand,8,Gold Coins,64,1,
Soul Soil,8,Gold Coins,64,1,
Netherrack,8,Gold Coins,64,1,
Blackstone,12,Gold Coins,64,1,
Glowstone,12,Gold Coins,64,1,
Basalt,12,Gold Coins,64,1,
Block of Quartz,20,Gold Coins,64,1,
Obsidian,20,Gold Coins,64,1,
Nether Bricks,20,Gold Coins,64,1,
Blue Nether Bricks,24,Gold Coins,32,1,
Red Nether Bricks,24,Gold Coins,32,1,
Netherite Ingot,8,Money,4,1,
Smithing Template,12,Money,1,1,
Block of Netherite,20,Money,1,1,
Gilded Blackstone,2,Money,16,1,
Wither Skull,1,Money,3,1,
Crying Obsidian,4,Money,16,1,
Ochre Froglight,8,Gold Coins,16,1,
Pearlescent Froglight,8,Gold Coins,16,1,
Verdant Froglight,8,Gold Coins,16,1,
Warped Stem,16,Gold Coins,64,1,
Shroomlight,16,Gold Coins,64,1,
Crimson Stem,16,Gold Coins,64,1,
Warped Wart Block,12,Gold Coins,64,1,
Block of Rose Quartz,12,Gold Coins,64,1,
Nether Wart Block,12,Gold Coins,64,1,
Ghast Tear,8,Gold Coins,16,1,
Blaze Rod,8,Gold Coins,16,1,
Magma Cream,8,Gold Coins,16,1,
Warped Fungus,4,Gold Coins,32,1,
Crimson Fungus,4,Gold Coins,32,1,
Nether Wart,4,Gold Coins,32,1,
Potion of Fire Resisitance,2,Money,1,1,
Splash Potion of Regeneration,2,Money,1,1,
Cobbled Soulstone,8,Gold Coins,64,1,
Brimstone,8,Gold Coins,64,1,
Hellbark,8,Gold Coins,64,1,
,,,,1,
