Product,Cost,Currency Type,Per Units,Floor,Column 6
Absorption V Augment,3,Money,1,1,
Luck III Augment,3,Money,1,1,
Health Boost III Augment,3,Money,1,1,
Mining AOE IV Augment,3,Money,1,1,
Haste III Augment,3,Money,1,1,
Wither Resistance Augment,3,Money,1,1,
Mining Fatigue Resistance  Augment,3,Money,1,1,
Flight Augment,10,Money,1,1,
Strength III Augment,3,Money,1,1,
Attack AOE III  Augment,3,Money,1,1,
Prosperity Shards,32,Gold Coins,32,1,
Night Vision  Augment,3,Money,1,1,
Awakened Supremium Furnace,5,Money,1,1,
Mystical Enlightenment V - Enchantment Book,2,Money,1,1,
Soul Siphon,1,Money,1,1,
Water Breathing Augment,3,Money,1,1,
