Product,Cost,Currency Type,Per Units,Floor,Column 6
Prosperity Ingot,1,Money,32,1,
Inferium Essence,16,Gold Coins,64,1,
Prudentium Essence,32,Gold Coins,64,1,
Tertium Essence,32,Gold Coins,32,1,
Imperium Essence,2,Money,32,1,
Supremium Essence,2,Money,16,1,
Prosperity Gemstone,1,Money,32,1,
White Hopper Botany Pot,4,Gold Coins,1,1,
Elite White Hopper Botany Pot,8,Gold Coins,1,1,
Ultra White Hopper Botany Pot,1,Money,1,1,
Creative White Hopper Botany Pot,3,Money,1,1,
Limited Oak Barrel III,4,Gold Coins,2,1,
Supremium Farmland,4,Gold Coins,1,1,
Prosperity Seed Base,16,Gold Coins,8,1,
Soulium Seed Base,16,Gold Coins,6,1,
Unattuned Augment,4,Gold Coins,1,1,
Machine Frame,8,Gold Coins,4,1,
