Product,Cost,Currency Type,Per Units,Floor,Column 6
Bottle o' Enchanting,8,Gold Coins,16,1,
Dragon Head,32,Money,5,1,
Strider Rock,8,Gold Coins,16,1,
Stack Upgrade Tier 3,2,Money,1,1,
Stack Upgrade Tier 4,4,Money,1,1,
Stack Upgrade Tier 5,8,Money,1,1,
Stack Upgrade Omega Tier,32,Money,1,1,
Nether Start,4,Money,1,1,
Totem of Undying,1,Money,1,1,
End Stone,8,Gold Coins,64,1,
Purpur Block,8,Gold Coins,64,1,
Shulker Box,2,Money,1,1,
Netherite Shulker Box,6,Money,1,1,
Ghasta,4,Gold Coins,32,1,
Dragon's Breath,4,Money,1,1,
