Product,Cost,Currency Type,Per Units,Floor,Column 6
Dirt,8,Silver Coins,64,1,
Mud,12,Silver Coins,64,1,
Coarse Dirt,1,Gold Coins,64,1,
Grass Block,1,Gold Coins,64,1,
Packed Mud,1,Gold Coins,64,1,
Mud Brick,1,Gold Coins,64,1,
Sand,12,Silver Coins,64,2,
Gravel,12,Silver Coins,64,2,
Tuff,1,Gold Coins,64,2,
Andesite,12,Silver Coins,64,2,
Granite,12,Silver Coins,64,2,
Diorite,12,Silver Coins,64,2,
Clay,1,Gold Coins,64,2,
Clay Ball,8,Silver Coins,64,2,
Terracotta,2,Gold Coins,64,2,
Cobblestone,8,Silver Coins,64,2,
Stone,12,Silver Coins,64,2,
Stone Bricks,1,Gold Coins,64,2,
Deepslate,1,Gold Coins,64,2,
Cobbled Deepslate,12,Silver Coins,64,2,
Calcite,3,Gold Coins,64,2,
Blackstone,3,Gold Coins,64,2,
Cross Necklace,1,Money,1,3,
Charm of Sinking,24,Gold Coins,1,3,
Scarf of Invisiblity,16,Gold Coins,1,3,
Lucky Scarf,2,Money,1,3,
Superstitious Hat,2,Money,1,3,
Cowboy Hat,1,Money,1,3,
Angler's Hat,2,Money,1,3,
Villager Hat,2,Money,1,3,
Novelty Drinking Hat,1,Money,1,3,
Plastic Drinking Hat,1,Money,1,3,
Snorkel,24,Gold Coins,1,3,
Crystal Heart,2,Money,1,3,
Cloud Bottle,1,Money,1,3,
Helium Flamingo,1,Money,1,3,
Universal Attractor,16,Gold Coins,1,3,
Obsidian Skull,24,Gold Coins,1,3,
Aqua-Dashers,1,Money,1,3,
Steadfast Spikes,1,Money,1,3,
Flippers,1,Money,1,3,
Rooted Boots,16,Gold Coins,1,3,
Kitty Slippers,16,Gold Coins,1,3,
Digging Claws,28,Gold Coins,1,3,
Feral Claws,1,Money,1,3,
Vampiric Glove,2,Money,1,3,
Golden Hook,24,Gold Coins,1,3,
Pickaxe Heater,16,Gold Coins,1,3,
Power Glove,1,Money,1,3,
Fire Gauntlet,1,Money,1,3,
Panic Necklace,1,Money,1,3,
Shock Pendant,2,Money,1,3,
Flame Pendant,24,Gold Coins,1,3,
Thorn Pendant,16,Gold Coins,1,3,
Whoopee Cushion,16,Gold Coins,1,3,
Chorus Totem,2,Money,1,3,
Pocket Piston,1,Money,1,3,
Antidote Vesselt,1,Money,1,3,
Onion Ring,16,Gold Coins,1,3,
Night Vision,2,Money,1,3,
Running Shoes,1,Money,1,3,
Bunny Hoppers,1,Money,1,3,
Snowshoes,1,Money,1,3,
Umbrella,1,Money,1,3,
Nether Star,26,Gold Coins,1,4,
Soul Sand,1,Gold Coins,64,4,
Wither Skeleton Skull,16,Gold Coins,3,4,
Cookie,1,Gold Coins,64,5,
Nether Quartz,4,Silver Coins,64,6,
Block of Quartz,1,Gold Coins,64,6,
Diamond,1,Gold Coins,1,6,
Netherite Ingot,16,Gold Coins,1,6,
Netherite Scrap,16,Gold Coins,4,6,
Coal,2,Silver Coins,64,6,
Amethyst Shard,2,Gold Coins,64,7,
Lapis Lazuli,2,Gold Coins,64,7,
Terrasteel Ingot,16,Gold Coins,3,7,
Elementium Ingot,16,Gold Coins,64,7,
Manasteel Ingot,12,Gold Coins,64,7,
Iron Ingot,6,Gold Coins,64,7,
Gold Ingot,4,Gold Coins,64,7,
Copper Ingot,2,Gold Coins,64,7,
Pickle,1,Gold Coins,3,8,
