Product,Cost,Currency Type,Per Units,Floor,Column 6
Wild Armor Trim,8,Gold Coins,1,1,
Vex Armor Trim,6,Gold Coins,1,1,
Sentry Armor Trim,8,Gold Coins,1,1,
Dune Armor Trim,8,Gold Coins,1,1,
Ward Armor Trim,8,Gold Coins,1,1,
Coast  Armor Trim,8,Gold Coins,1,1,
Tide Armor Trim,8,Gold Coins,1,1,
Silence Armor Trim,10,Gold Coins,1,1,
Rib Armor Trim,8,Gold Coins,1,1,
Snout  Armor Trim,8,Gold Coins,1,1,
Eye Armor Trim,8,Gold Coins,1,1,
Spire Armor Trim,8,Gold Coins,1,1,
Host Armor Trim,16,Gold Coins,1,1,
Shaper Armor Trim,16,Gold Coins,1,1,
Raiser Armor Trim,16,Gold Coins,1,1,
Wayfinder Armor Trim,16,Gold Coins,1,1,
