Product,Cost,Currency Type,Per Units,Floor,Column 6
Prismarine Block,1,Gold Coins,64,1,
Dark Prismarine Block,2,Gold Coins,64,1,
Prismarine Slab,1,Gold Coins,64,1,
Dark Prismarine Slab,2,Gold Coins,64,1,
Ink Sac,1,Gold Coins,32,1,
Sea Lantern,1,Gold Coins,5,1,
Turtle Egg,10,Gold Coins,1,1,
Scute,1,Gold Coins,4,1,
Brain Coral Blocks - All Types,1,Gold Coins,32,1,
Brain Coral - All Types,1,Gold Coins,32,1,
Seagrass,1,Gold Coins,32,2,
Fish Tank,1,Gold Coins,1,2,
Sea Pickle,1,Gold Coins,32,2,
Nautilus Shell,1,Gold Coins,16,2,
Conduit,4,Gold Coins,1,2,
Bucket of Tadpole,2,Gold Coins,1,2,
Bucket of Axolotl - All Types,12,Gold Coins,1,2,
Prismarine Bricks,1,Gold Coins,32,2,
Iridescent Tiles,1,Gold Coins,10,2,
Mermaid Dresser,1,Gold Coins,1,2,
Sea Gem Lantern,1,Gold Coins,4,2,
Horn Coral Fan,1,Gold Coins,32,2,
,,,,2,
